text,label,clean_text
i think that when we say i feel so alone in this or i feel like i am facing this all alone we dont really mean what we say,0,think say feel alone feel like face alone not really mean say
i feel like im having something really naughty like dessert for breakfast,2,feel like something really naughty like dessert breakfast
i feel shaken or angry that my husband keeps lying to me and is a sexaholic i often start to feel mad at god,4,feel shake angry husband keep lie sexaholic often start feel mad god
i don t want any of you to feel left out i am offering a discount on my tea totes to you my beloved readers beginning today through april th,2,want feel left offer discount tea tote beloved reader begin today april th
i also feel fearful and concerned for them both worried,4,also feel fearful concerned worry
ive sat there and wondered why a guy i liked hasnt texted me calling is not really my thing it makes me feel too awkward or why when he seems all efforts to the contrary he wont take a chance on me as his girlfriend,0,sit wonder guy like not texte call really thing make feel awkward seem effort contrary will not take chance girlfriend
i feel fine which is good enough on a sunday evening,1,feel fine good enough sunday evening
i do not see or feel the need to respond to any of your ludicrous questions concerning anything,0,see feel need respond ludicrous question concern anything
i saw nothing on the dining room table had moved i think im starting to feel its safe to come out again,1,see nothing dining room table move think start feel safe come
i feel a bit disillusioned about men as a whole population,0,feel bit disillusioned man whole population
im meant to feel longing,2,mean feel longing
i try to remember that quote when i feel i may be hitting a wall in a marathon or even a training run and i know it is time to find that perfect song that fuel,1,try remember quote feel may hit wall marathon even training run know time find perfect song fuel
i feel there isnt much meat but yoshidas perspective grows ever tragic,0,feel not much meat yoshidas perspective grow ever tragic
i have mishandled things alongside the rest and im feeling remorseful about it right now as opposed to my very initial reaction of not wanting to care because maybe somewhere deep down in me im hoping things might be like before,0,mishandle thing alongside rest feel remorseful right oppose initial reaction want care maybe somewhere deep hope thing might like
i was actually starting to feel pretty cranky about the situation and was avoiding a lot of phone calls because i really just didnt want to talk to anyone about being late,3,actually start feel pretty cranky situation avoid lot phone call really not want talk anyone late
i have begun to feel as though i have valuable contributions and insights to make within a network of professionals,1,begin feel though valuable contribution insight make within network professional
i guess ive been feeling agitated lately,3,guess feel agitated lately
im lying in bed feeling very anxious and have a knot in my stomach,4,lie bed feel anxious knot stomach
i feel low confidence sometimes,0,feel low confidence sometimes
i know every baby is different but i feel like ive already exhausted pun intended my bag of tricks,0,know every baby different feel like already exhaust pun intend bag trick
i feel discouraged when being peter varvel isnt good enough i put on a persona someone who inspires me whether theyre real or imagined,0,feel discouraged peter varvel not good enough put persona someone inspire whether real imagine
i get the feeling you may think this is an attraction thing on his part as long as you are faithful to your husband and friend there should be no problems,2,get feeling may think attraction thing part long faithful husband friend problem
i feel eager to tell my parents,1,feel eager tell parent
i was feeling very keen to get out of the camp site before they realised i had been given the best gift of all free accommodation and free services,1,feel keen get camp site realise give good gift free accommodation free service
i still feel guilty for being a christian with depression,0,still feel guilty christian depression
i don t like the idea that women in the entertainment industry especially in pop music may feel pressured to turn themselves into hypersexual tartlets but i get the feeling that rihanna isn t being provocative because she feels she has to,4,like idea woman entertainment industry especially pop music may feel pressured turn hypersexual tartlet get feeling rihanna provocative feel
i don t feel like i lost too much fitness during my three weeks off either,0,feel like lose much fitness three week either
i feel really bitter,3,feel really bitter
i don t feel so exhausted all the time,0,feel exhausted time
i get through it pretty quickly but it just makes me feel like im not being respected,1,get pretty quickly make feel like respect
i don t feel respect i don t feel admiration and i don t feel an entirely romantic tone,2,feel respect feel admiration feel entirely romantic tone
i feel like we owe it to each other to be intelligent about our sexual decisions,1,feel like owe intelligent sexual decision
i still feel brave when i walk into the saudi perfume scented terminal at dulles where my flight will leave from in an hour,1,still feel brave walk saudi perfume scented terminal dulle flight leave hour
a boyfriend with whom i split up with came over to a friends house where i was visiting with a male friend in a confrontation in another room he tried to find out if i was aroused by my friend by feeling my parts,3,boyfriend split come friend house visit male friend confrontation another room try find arouse friend feel part
i love gives me a great feeling of contented accomplishment,1,love give great feeling content accomplishment
i have had since july st i am feeling shaken knowing i will be homeless in two months and as close to a home that i have is gone,4,since july st feel shake know homeless two month close home go
i can live out my values instead of just being crushed by debt feeling rejected and feeling empty,0,live value instead crush debt feeling reject feel empty
i feel thank you everyone for the amazing thoughts and prayers,1,feel thank everyone amazing thought prayer
ive had a rather average career because i decided to work less to earn less no rolex anywhere to be seen but have managed to write and even publish some of the short story collections and novels i have in my mind and on my drafts today i will feel successful,1,rather average career decide work less earn less rolex anywhere see manage write even publish short story collection novel mind draft today feel successful
im feeling frantic about time as if the whole summer were a giant hour glass and if im not vigilant all the sand is going to rush out in a whoosh and ill have dipshit to show for it,4,feel frantic time whole summer giant hour glass vigilant sand go rush whoosh ill dipshit show
i feel offended and sad because they do not know their ignorance,3,feel offended sad know ignorance
i kind of feel fearful of starting,4,kind feel fearful start
i kept my laptop close searching for jobs that i could build a career out of and looking for those all important christmas recipes to make this year feel a little more special,1,keep laptop close search job could build career look important christmas recipe make year feel little special
i am merely a man who will feel humiliated whenever i am intimidated by you,0,merely man feel humiliate whenever intimidate
i no longer feel like a pathetic sad fat girl who cant eat nachos every day,0,long feel like pathetic sad fat girl can not eat nachos every day
i am if i go back to the hostel for a break i feel anxious to get back out and see more and more take it all in,4,go back hostel break feel anxious get back see take
i feel that people are a shamed of me,0,feel people shamed
i hit a certain point in the middle and something was revealed that left me feeling so overwhelmingly devastated that i had to set the book down and walk away for a while,0,hit certain point middle something reveal leave feel overwhelmingly devastate set book walk away
i feel i had benefited more from last year s creative futures but could this be in part that the information i had learnt last year i was already putting into practice and therefore this year s sessions were what i was already doing rather than inspiring me to start,1,feel benefit last year creative future could part information learn last year already put practice therefore year session already rather inspire start
i pick up the cards i feel a shiver go up my spine and i just feel so curious,5,pick card feel shiver go spine feel curious
i know just how you feel any ache pain in tummy i get frightened incase it em again,4,know feel ache pain tummy get frightened incase em
i do for a living and lately more often than not both me and my wife who s also an ubuntu user have been feeling a bit uncertain about linux being the platform where we want to keep working,4,living lately often wife also ubuntu user feel bit uncertain linux platform want keep work
im not convinced that it all makes since because the talking never feels sincere in its execution and maybe the themes in life seem to large to ever fathom but what s the point when it already feels like an emotionless pit of self craving attention,1,convince make since talking never feel sincere execution maybe theme life seem large ever fathom point already feel like emotionless pit self craving attention
i feel it aching in my chest,0,feel ache chest
i feel content with it all,1,feel content
im just feeling bashful whenever i talk to you,4,feel bashful whenever talk
i feel as dirty as fuck,0,feel dirty fuck
i decided that since things were finally starting to go well but i was still feeling a little uncertain i d give myself a little more time to let the training come together,4,decide since thing finally start go well still feel little uncertain give little time let training come together
i think this will help somebody out there that feels hopeless and alone,0,think help somebody feel hopeless alone
i began to feel agitated because i wanted to buy ewan some food and medicine before i left,3,begin feel agitated want buy ewan food medicine leave
im feeling more relaxed,1,feel relaxed
i do not do these things to torture you i am feeling tortured myself at the moment,3,thing torture feel torture moment
i strongly feel that at this point in my life i am no longer desiring to walk this path that i am on and to be truthful i have no clue as to where i am going with my life from here,1,strongly feel point life long desire walk path truthful clue go life
i fully believe and feel passionate about living bravely and outside my comfort zone i often revert to my comfortable ways,2,fully believe feel passionate live bravely outside comfort zone often revert comfortable way
i feel very romantic now all i have left to try out is barry m almond from the same range,2,feel romantic leave try barry almond range
i have been feeling really creative and have been trying out new things,1,feel really creative try new thing
i press play and yeah i watch my movie about five times in a row right then and there i feel satisfied and cant wait to share what i made with my friends,1,press play yeah watch movie five time row right feel satisfied can not wait share make friend
i sometimes feel like an artistic redcoat,1,sometimes feel like artistic redcoat
i have finished college had a couple kids worked through feeling entirely discouraged because of a camera that did not have the functions i wanted then feeling like i just couldnt do a decent job taking pictures i have decided to give it another try,0,finish college couple kid work feeling entirely discouraged camera function want feel like could not decent job take picture decide give another try
i feel so emotionally drained i really really hate feeling this way and i hate keeping things from people i love and i hate having to pretend everything is normal i want it to be normal and i hate that my happiness is coming from someone else and im so tired i really need a break,0,feel emotionally drain really really hate feel way hate keep thing people love hate pretend everything normal want normal hate happiness come someone else tired really need break
i wasnt going to do a what im loving wednesday post because i wasnt feeling like i was loving anything but as my youngest sister text me last night sometimes happiness is a choice so here it is,2,not go love wednesday post not feel like love anything young sister text last night sometimes happiness choice
i wear it i feel anxious visable spotlighted different unfashionable stupid embarrassed ashamed and paranoid,4,wear feel anxious visable spotlight different unfashionable stupid embarrassed ashamed paranoid
i hadnt been feeling well all week in calgary so with this added relaxation in the first run of the second race i set another pb time by almost,1,not feel well week calgary add relaxation first run second race set another pb time almost
i have been feeling so drained like there is no strength left inside of me to fulfill the simplest of tasks,0,feel drain like strength leave inside fulfill simple task
in the army,3,army
i am feeling suspicious lj cut text suspicions,4,feel suspicious lj cut text suspicion
im trying to be positive and i feel positive,1,try positive feel positive
i guess since im feeling a bit less shitty have a random picture,0,guess since feel bit less shitty random picture
i wasnt feeling well at all so had to take a few days off work lots of winter germs going round and being in an air conditioned office probably doesnt help,1,not feel well take day work lot winter germ go round air condition office probably not help
i find calming about these colors i dunno i guess they feel pleasant as weird as that sounds,1,find calm color dunno guess feel pleasant weird sound
i feel like i am part of a team now and far from the isolated feeling i have had for so many months now,0,feel like part team far isolated feeling many month
i think this is really great having been in situations where i feel overtly threatened in a public place where everyone pretends they don t see what s happening,4,think really great situation feel overtly threaten public place everyone pretend see happen
i feel discouraged i try to count my blessings and recognize all the good in my life,0,feel discouraged try count blessing recognize good life
i have a feeling my mom wont be so keen on that idea,1,feeling mom will not keen idea
i feel awful that your experience did not reflect that,0,feel awful experience reflect
i forget that any time we have a disagreement or she feels like she s been wronged in some way that every bad thing i ve ever done in my life every poor choice every single thing that she doesn t agree with comes back screaming in my face,3,forget time disagreement feel like wrong way every bad thing ever do life every poor choice every single thing agree come back scream face
i was feeling pretty anxious and overwhelmed as a friend rightly noted probably because i was on a boat with my mom grandmother and great aunt and no where to flee except the damn cold baltic sea,4,feel pretty anxious overwhelmed friend rightly note probably boat mom grandmother great aunt flee except damn cold baltic sea
i feel scared because i dont know the students and the teachers,4,feel scared not know student teacher
i feel a little bit anxious about it,4,feel little bit anxious
i feel like i mostly post when im feeling bad so i wanted you to know that i have good days too,0,feel like mostly post feel bad want know good day
i have always prayed and hoped for the universality of a single faith and a complete unconditional and voluntary feeling of brotherhood among mankind a host of beloved children of one and only heavenly father,2,always pray hope universality single faith complete unconditional voluntary feeling brotherhood among mankind host beloved child one heavenly father
i feel overwhelmed and i want to forget it all,5,feel overwhelmed want forget
i don t feel bothered about it getting credit equals getting debt and i have no interest in doing that again,3,feel bothered get credit equal get debt interest
i feel about the plight of these dogs so its lovely to find a turkish vet who really cares,2,feel plight dog lovely find turkish vet really care
i am feeling rather grouchy too this morning since i didnt sleep last night on purpose,3,feel rather grouchy morning since not sleep last night purpose
i feel so helpless yet so motivated to do something,0,feel helpless yet motivated something
i am spending here in cadore i feel even more acutely the sorrowful impact of the news i am receiving about the bloodshed from conflicts and the episodes of violence happening in so many parts of the world,0,spend cadore feel even acutely sorrowful impact news receive bloodshed conflict episode violence happen many part world
i glimpse at his clarity when he takes the reigns i can feel the calm,1,glimpse clarity take reign feel calm
i feel content alive and motivated,1,feel content alive motivated
i think its because i feel listless,0,think feel listless
i am this morning filled with the feeling of possibility and the gentle morning haze of nyquil,2,morning fill feeling possibility gentle morning haze nyquil
i am feeling very shaky today,4,feel shaky today
i am feeling shaky and weak,4,feel shaky weak
i am feeling the need to consolidate to step back and re evaluate the purpose of this blog other than providing a fabulous vicarious life for yall to live through my sarcasm does not always come across in print,1,feel need consolidate step back evaluate purpose blog provide fabulous vicarious life live sarcasm always come across print
i also always feel a little scared,4,also always feel little scared
i feel desperately unhappy if this is me missing richard then i can t handle it it s too much i ve had enough of it i m a mess i know it s not me i still feel like myself,0,feel desperately unhappy miss richard handle much enough mess know still feel like
i feel strange being thankful when such awful things on the other sides of the oceans that surround that country happen on a daily basis,4,feel strange thankful awful thing side ocean surround country happen daily basis
i have been told that these same vendors feel like they might end up supporting much more than just one more platform as linux has many popular distribution releases these days,2,tell vendor feel like might end support much one platform linux many popular distribution release day
i feel like im such a troubled girl with no direction,0,feel like troubled girl direction
i was feeling pretty terrified full of nervous energy,4,feel pretty terrified full nervous energy
im so great for having gone to that class feeling was gone replaced by a sense of melancholy for what once was for the body that used to be able to move,0,great go class feeling go replace sense melancholy body use able move
i feel like i am a selfish person,3,feel like selfish person
i was feeling grouchy and all,3,feel grouchy
i feel worthless when hes not there to pick me up at the airport,0,feel worthless pick airport
i did not mind doing it since the it office is on my way home but i did feel pained that not one of my friends offered to give me company,0,mind since office way home feel pained one friend offer give company
i used to feel rejected and like it was my fault as i am overweight,0,use feel reject like fault overweight
im feeling overwhelmed i can just give people the middle finger or tell them to f off,4,feel overwhelmed give people middle finger tell f
i feel so friggin blessed with a wonderful career and family,1,feel friggin bless wonderful career family
ill take my gfathers ute down to get a load of shit or as some would prefer manure but im feeling hostile so let me have it and will attempt a version of a home made compost,3,ill take gfather ute get load shit would prefer manure feel hostile let attempt version home make compost
i feel simultaneously superior and inferior to each other writer and i wish i could take back some off the things i said,1,feel simultaneously superior inferior writer wish could take back thing say
ive been feeling so anxious and nauseous and tired but also so elated that some nights its all i can do to crawl into bed,4,feel anxious nauseous tired also elated night crawl bed
i feel burdened with the subjects i am taking,0,feel burden subject take
i feel safe to leave my house in the morning,1,feel safe leave house morning
i got upset when i feel that the only person whos uptight on chatting is just me,4,get upset feel person uptight chat
i feel very passionate about healthy life and people who want to lose weight and get fit,2,feel passionate healthy life people want lose weight get fit
i myself stood before the crowd and talk but no more recent addition to the crowd feeling a little shaky hihi training and skills needed to maintain constant the better,4,stand crowd talk recent addition crowd feel little shaky hihi training skill need maintain constant well
i feel unimportant and undesired,0,feel unimportant undesired
im feeling a much more festive with the tree in,1,feel much festive tree
i like about dating him is how outgoing he is which makes me feel more at ease because im somewhat shy,4,like date outgoing make feel ease somewhat shy
i feel very valuable through you all,1,feel valuable
i typically do not engage the children on my walks in this manner but today i m feeling a little curious and more silly than usual so i persist with my question,5,typically engage child walk manner today feel little curious silly usual persist question
i think i have a good feel for what players are feeling and i just try to help them to do one thing in life that we all want and thats believe and if you believe strong enough good things can happen washington said,1,think good feel player feel try help one thing life want believe believe strong enough good thing happen washington say
im really excited for her birthday but feeling super nostalgic about it,1,really excited birthday feel super nostalgic
i am feeling so festive right now and not just because this was the lovely wintry scene when i walked the dog the other day a href http,1,feel festive right lovely wintry scene walk dog day href http
i had a recent pang of feeling ugly and that i was a failure in some way,0,recent pang feel ugly failure way
id be more use at that level which would make the job feel more worthwhile and the season is basically half as long,1,use level would make job feel worthwhile season basically half long
i hope she s feeling ok,1,hope feel ok
i feel ever so ever so ever so jolly,1,feel ever ever ever jolly
i feel awful,0,feel awful
i feel rather agitated by our sliding door that keeps getting stuck,3,feel rather agitated slide door keep get stick
i begin to feel terribly rude and that causes me to become depressed,3,begin feel terribly rude cause become depressed
i am feeling remotely dignified tasteful or comfortable,1,feel remotely dignified tasteful comfortable
i feel strange with the judge passing sentence in such a manner,5,feel strange judge pass sentence manner
i feel generally dissatisfied and lost,3,feel generally dissatisfied lose
i feel guilt from inaction and spend much of my time helping and supporting others,1,feel guilt inaction spend much time help support other
i am learning is one of my default reactions when i feel threatened,4,learn one default reaction feel threatened
i tried to reconcile the two feelings into one piece of music the unease and tender nostalgia present in martin s song of wwii france is different from the sharp bleeding ache i was feeling,2,try reconcile two feeling one piece music unease tender nostalgia present martin song wwii france different sharp bleeding ache feel
i am afraid that once again i will feel hopeless and lose all of the peace that i gained after my last episode,0,afraid feel hopeless lose peace gain last episode
i feel that you couldnt be bothered anymore,3,feel could not bother anymore
i have talked about it too much i feel here is a video if you are curious,5,talk much feel video curious
ive been feeling rather defeated and stressed out but this appointment reminded me that though i may be failing in other areas im doing a pretty dang good job at growing this baby,0,feel rather defeat stress appointment remind though may fail area pretty dang good job grow baby
i should give as charity only what i feel is valuable to the person receiving it,1,give charity feel valuable person receive
i would accept your gift without feeling mad,3,would accept gift without feel mad
i must say i did feel something very special being there,1,must say feel something special
i usually don t wear glasses at first i had uncomfortable feeling like irritated but lately i feel comfortable to have it,3,usually wear glass first uncomfortable feeling like irritated lately feel comfortable
i spent saturday night and all of sunday feeling pretty lousy,0,spend saturday night sunday feel pretty lousy
ive been feeling far from perfect in the area of motherhood,1,feel far perfect area motherhood
i fought back the blush on his cheeks one hand resting over his heart feeling the frantic beating almost positive kai could hear it,4,fight back blush cheek one hand rest heart feel frantic beat almost positive kai could hear
i try not to let my anxiety show and make him feel unwelcome,0,try let anxiety show make feel unwelcome
i forgot my passport and i realize that my stomach was feeling funny until i went to the washroom and understand that i was actually sick,5,forget passport realize stomach feel funny go washroom understand actually sick
i feel peaceful secure and independent,1,feel peaceful secure independent
ive played fps games and each time ive left feeling like it was an mentally emotionally dangerous thing to do that i had to switch off an important part of my brain just to play it,3,play fps game time leave feeling like mentally emotionally dangerous thing switch important part brain play
i am feeling a lil groggy from the cough medicine,0,feel lil groggy cough medicine
i like her a lot as a person but i cant help feeling less that what she is she has my dream jobs shes more sociable shes a combat trainer,1,like lot person can not help feel less dream job sociable combat trainer
i guess im not ready for that still young and feeling rebellious,3,guess ready still young feel rebellious
i started feeling overly lethargic my whole body feels like lead,0,start feel overly lethargic whole body feel like lead
i feel im being ignored,0,feel ignore
i do feel that at least it meant they are compassionate and care about the world ba,2,feel least mean compassionate care world ba
i feel lots more energy i feel very impatient and irritable,3,feel lot energy feel impatient irritable
i recommend using them when feeling emotionally drained,0,recommend use feel emotionally drain
im sorry i have a really bad cold and im feeling bitchy cos i never got to go out drinking myself stupid with my best friends tonight,3,sorry really bad cold feel bitchy cos never get go drink stupid good friend tonight
i said you are not focused with me and when you are not focused with me i feel unimportant,0,say focus focus feel unimportant
i feel pressured by a dumb feeling,4,feel pressured dumb feeling
i changed i feel that im taking advantage of her this wouldnt have bothered me one bit before,3,change feel take advantage would not bother one bit
i feel like im a horrible person and sometimes that im not even a good mother for the simple fact it happened and i dont know what to do,0,feel like horrible person sometimes even good mother simple fact happen not know
i once told my friends that i feel like doing some sort of backpacking but instead of supporting me with this idea all i got from them were raised eye brows and some sarcastic remarks,1,tell friend feel like sort backpack instead support idea get raise eye brow sarcastic remark
i do not like the originals but i want rebekah to have a satisfactory ending and not to be shamed for feeling and loving by klaus and to some extent stefan and damon,2,like original want rebekah satisfactory ending shame feeling love klaus extent stefan damon
i often feel fucked regardless,3,often feel fuck regardless
im more than ready to meet this little man but knowing that time is running out leaves me feeling a little apprehensive,4,ready meet little man know time run leave feel little apprehensive
im not afraid of going on my own but i feel like a lot of people were in groups and a part of me feels like it would be cool to have a small group to hang out with,1,afraid go feel like lot people group part feel like would cool small group hang
i feel like i am coming into my own really caring about myself and what i am feeling thinking doing,2,feel like come really care feel think
im feeling groggy and horrid,0,feel groggy horrid
i didnt smoke in the house or car but i can remember feeling so agitated on the way home from anywhere,3,not smoke house car remember feel agitated way home anywhere
i feel lousy pain in my leg and foot falling back pain my guts were a mess around easter,0,feel lousy pain leg foot fall back pain gut mess around easter
i feel fine now but it was pretty rough running for hours and minutes straight,1,feel fine pretty rough run hour minute straight
im really feeling good,1,really feel good
i would give you ample reasons to feel ashamed,0,would give ample reason feel ashamed
i will confess to you i have had moments of feeling overwhelmed and ill admit being a bit melancholy,4,confess moment feel overwhelmed ill admit bit melancholy
i wish i would feel blessed all the time and remember what i do have but for some reason it wears on me all the time and so i need that reminder through the year,2,wish would feel blessed time remember reason wear time need reminder year
i meet in supermarkets banks dentists etc make me feel like im weird,4,meet supermarket bank dentist etc make feel like weird
i can feel the gap it feels like rich people status and poor people status,1,feel gap feel like rich people status poor people status
i know it s best to support low arches and the footbed of these feels supportive without feeling too high,2,know good support low arch footbed feel supportive without feel high
i suddenly feel that this is more than a sweet love song that every girls could sing in front of their boyfriends,2,suddenly feel sweet love song every girl could sing front boyfriend
i often feel that working in it is like being a hopefully benevolent goliath that is often undone by the humblest of davids,1,often feel work like hopefully benevolent goliath often undo humblest david
im feeling my loving heart is all yours for the stealing reach out your worn hands for you im ready a href http,2,feel love heart stealing reach worn hand ready href http
i like to listen to it when the weather gets warm though because it makes me feel like i m carefree and at the beach,1,like listen weather get warm though make feel like carefree beach
ive collected as i feel its vital to create something precious from those items as a tribute to the earth and its power generosity,1,collect feel vital create something precious item tribute earth power generosity
im feeling peaceful and im happy that i dont have to do anymore scabi im in verona my final week,1,feel peaceful happy not anymore scabi verona final week
im feel alone and i dont know how to cope,0,feel alone not know cope
i feel selfish but i think it s about time i was,3,feel selfish think time
i spent a lot of time earlier this year feeling stressed out about capacity and resistant to stretching it because it felt like stretching me,0,spend lot time early year feeling stress capacity resistant stretch feel like stretch
im not feeling exactly thrilled with standing in front of a mirror if you know what i mean,1,feel exactly thrilled stand front mirror know mean
i feel disturbed betrayed untrustworthy slightly disagreeable,0,feel disturb betray untrustworthy slightly disagreeable
i feel so proud,1,feel proud
i feel a little bit frightened of islam,4,feel little bit frightened islam
i think you said beautiful things to them and i think you meant them you loved being with them i think you made them feel terrific,1,think say beautiful thing think mean love think make feel terrific
im alternating between felling optimistic and feeling doomed,0,alternate felling optimistic feel doomed
ive listened enough to all you people and i just go back to my old ways by taking your advice then in the end i just feel discontent with myself because i cant change my ways that i give up before its over,0,listen enough people go back old way take advice end feel discontent can not change way give
i feel inside cause life is like a game sometimes then you came around me the walls just disappeared nothing to surround me and keep me from my fears im unprotected see how ive opened up oh youve made me trust cause ive never felt like this before im naked around you does it show,0,feel inside cause life like game sometimes come around wall disappear nothing surround keep fear unprotected see open oh make trust cause never feel like naked around show
i always seem to feel im running on empty,0,always seem feel run empty
i can honestly say that while i havent enjoyed learning the lessons we have learned i do feel as though we have come out stronger and tougher and more loving and more appreciative,2,honestly say not enjoy learn lesson learn feel though come strong tough loving appreciative
i feel like i need to emphasize that because i was very impressed with the color of it,5,feel like need emphasize impressed color
i still am not able to remember a single dull moment a detail that pissed me off a thing i didnt feel comfortable about,1,still able remember single dull moment detail piss thing not feel comfortable
i personally feel that this is not a acceptable piece of art but i feel this does test personal moral and ethical views in people,1,personally feel acceptable piece art feel test personal moral ethical view people
i go to sleep as soon as my head hits the pillow i sleep deeply all night and i wake up feeling a lot less lethargic then usual,0,go sleep soon head hit pillow sleep deeply night wake feel lot less lethargic usual
i feel troubled over,0,feel troubled
i feel like i meet the most subtly obnoxious annoying people in the universe,3,feel like meet subtly obnoxious annoying people universe
i do feel my beloved husbands spirit more and more strongly an indication to me that another breakthrough is imminent,2,feel beloved husband spirit strongly indication another breakthrough imminent
i feel like its not worth trusting him,1,feel like worth trust
i feel like hed think that was pretty cool because i certainly do,1,feel like think pretty cool certainly
i feel my bones silently aching from the knuckles spreading to my uneven nails in oscillating patterns,0,feel bone silently ache knuckle spread uneven nail oscillate pattern
i feel like amazing co screenwriter roberto orcis bizarre adoration of dubya the pampered bush son was responsible for this shit even though it was carried over from the amazing spider man which orci didnt co write,5,feel like amazing co screenwriter roberto orcis bizarre adoration dubya pampered bush son responsible shit even though carry amazing spider man orci not co write
i feel so vulnerable to criticism like if my lunch stinks or if somebody comments on what i eat i have this embarrassed feeling,4,feel vulnerable criticism like lunch stink somebody comment eat embarrassed feeling
i feel so blessed to be yoked to a man so willing to work so hard to provide for us,2,feel blessed yoke man willing work hard provide we
i have an uneasy feeling about the stupidly talented eagles mainly because as good as they are at most positions they re dangerously thin at others,1,uneasy feeling stupidly talented eagle mainly good position dangerously thin other
i feel a whisper a friendly voice start to rise indulge until your hearts content and pay no mind,1,feel whisper friendly voice start rise indulge heart content pay mind
i am supposed to feel doubtful but i still think i forget sometimes how amazing it is that i am living in this city and that i get to work with such inspiring young women at my internship,4,suppose feel doubtful still think forget sometimes amazing live city get work inspire young woman internship
i still have not received any letter from moe and i admit that im starting to feel slightly troubled about it,0,still receive letter moe admit start feel slightly troubled
i am living a joyful life and i feel this divine beings as part of my daily life,1,live joyful life feel divine being part daily life
i feel dirty because i didn t like jane eyre and i just bigged it up in context yes but still,0,feel dirty like jane eyre bigge context yes still
i feel and some is just a hateful of hollow yes i hear many smiths these days,3,feel hateful hollow yes hear many smith day
i didnt use to feel embarrassed walking by people in it at the pool,0,not use feel embarrassed walking people pool
i feel lethargic instead which is almost worse,0,feel lethargic instead almost bad
i cant help but feel like im doing something dirty,0,can not help feel like something dirty
i set out on foot i feel comparatively strong light and free,1,set foot feel comparatively strong light free
i mean post and i feel rotten abou,0,mean post feel rotten abou
i guess avoiding the boundaries conversation with him has me feeling a little unsure about my confidence and strength,4,guess avoid boundary conversation feel little unsure confidence strength
i feel like perhaps as soon as i grabbed onto him i should have followed him out and beaten him up,0,feel like perhaps soon grab onto follow beat
i feel lucky to the point of feeling guilty about having got away without more serious damage and disability,1,feel lucky point feel guilty get away without serious damage disability
i cannot help but feel proud and grateful to be an america,1,help feel proud grateful america
i want to feel your sweet embrace but dont take that paper bag off your face i love your smile face and eyes damn im good at telling lies,1,want feel sweet embrace not take paper bag face love smile face eye damn good tell lie
i did not do all this to feel pretty might i add,1,feel pretty might add
i feel simultaneously thrilled and shy about this its both unsettling and exciting to see myself in this way,1,feel simultaneously thrilled shy unsettling exciting see way
im just saying that if i did they would make me feel successful,1,say would make feel successful
i don t feel the issue is resolved,1,feel issue resolve
i feel that it could have been a more successful outcome had i explored new styles but kept it close to me and remained myself,1,feel could successful outcome explore new style keep close remain
i seriously feel like im becoming more and more boring everyday,0,seriously feel like become boring everyday
i hated that i hurt him with my feelings i hated that i was dating somebody i didn t love i hated that i pretended lied to a friend i really treassured,3,hate hurt feeling hate date somebody love hate pretend lie friend really treassure
i am regularly in a rush and feel irritated and i dont take the time to communicate my needs or my feelings,3,regularly rush feel irritated not take time communicate need feeling
i expect and hope the greater id feel disappointed,0,expect hope great feel disappointed
i feel as though sometimes i can be more clever than average,1,feel though sometimes clever average
i feel like hes sure of it,1,feel like sure
i feel like any student response can tip the delicate balance of my psyche,2,feel like student response tip delicate balance psyche
i feel that this is neither impatient nor dickish and here are some reasons why,3,feel neither impatient dickish reason
i got the feeling he wasn t saying this to string me along so much as to have a sympathetic audience to tell his troubles to,2,get feeling say string along much sympathetic audience tell trouble
i woke up feeling all frustrated and upset again re enacting the moment i had to succumb to the docs insults and arrogance for a favor to clarify truth about my health,3,wake feel frustrated upset enact moment succumb docs insult arrogance favor clarify truth health
ive been trying to tell you how i feelbut was never very smart,1,try tell feelbut never smart
i feel this way is probably because i am dumb and i try my hardest to cover it up by reading lots and lots of books or you know becoming a doctor,0,feel way probably dumb try hard cover read lot lot book know become doctor
i try to be mindful about where i am in the room and i check in with the minister beforehand about what would feel most supportive for her,2,try mindful room check minister beforehand would feel supportive
i feel lethargic and i find no more reason to move not even a full bladder threatening to burst,0,feel lethargic find reason move even full bladder threaten burst
i tried to write it off as normal and ignored all feelings throwing myself into a very unsuccessful relationship with a boy when i was about,0,try write normal ignore feeling throw unsuccessful relationship boy
i have to try and adjust to not overdoing it and feeling kind of useless and frustrated with the physical limitations,0,try adjust overdo feel kind useless frustrated physical limitation
i am struck down by the disease i feel as if i am a fake a person who could not live his truth,0,strike disease feel fake person could live truth
i understand but i feel like i hated my friends,3,understand feel like hate friend
i feel ok and go out into the world to work buy food or just go for a walk,1,feel ok go world work buy food go walk
i feel kind of talented right now lol hmmm,1,feel kind talented right lol hmmm
i do feel slightly ungrateful about it but i can only spend so much time with them before going mad,0,feel slightly ungrateful spend much time go mad
i remember the day i was on the phone with my be fri shannon telling her how i cried because i was feeling truly happy again,1,remember day phone fri shannon tell cry feel truly happy
id call that feeling relaxed,1,call feel relaxed
i know he is totally trainable and can be free of his arm chewing habits i feel that the kids would be too nervous around him during the training process,4,know totally trainable free arm chewing habit feel kid would nervous around training process
i wasnt mad at him i was mad at j for making me feel unimportant,0,not mad mad j make feel unimportant
